Microsoft Internet Explorer	2	i5-3570K	1963	27695	15256	18296	21675	19550	16503	38756	8198	22283	25544	6592	16839	12506	17207	27101	13184
Chrome	2	i5-3230M	3441	23797	14235	20721	17616	22966	15022	28265	16819	37109	25536	18418	27172	28138	28847	54876	35162
Firefox	1	i5-480M	1721	18310	9720	14940	15826	15455	9897	12749	12786	38261	20848	5991	17796	20645	31165	37880	25462
Microsoft Internet Explorer	1	i5-560M	1410	18957	11116	10482	16842	13006	10125	25394	4474	13569	15642	4470	12349	7591	11680	19401	9614
Firefox	2	i7-3632QM	1330	12048	7009	10615	9442	10657	5898	9843	10993	23586	15915	4859	12599	14596	21617	24965	18070
Firefox	1	i5-560M	1951	22364	11543	19218	21124	18696	12006	16004	11140	46084	23910	3216	21718	25407	29008	46391	28259
Chrome	2	i5-2320	3377	20357	14811	21516	16729	21769	15945	32304	17023	37667	25998	21143	26427	27569	29511	55933	34038
Chrome	2	i5-3230M	3445	23892	13669	20178	17014	22888	14674	29570	16698	36930	25790	18282	27243	29761	28876	54123	34593
Chrome	0	Core 2 Duo P8600	1491	11925	7044	10800	5431	14935	4896	17505	10643	20413	12133	9371	16783	13528	13267	22576	18112
Chrome	2	i7-3770	4116	29118	16515	28444	23405	27712	21199	40633	19247	46790	29971	19860	33099	46983	33226	72879	41152
Chrome	1	i5-460M	2264	19866	9857	14291	10562	17254	9783	15040	9362	29679	14269	10428	19420	17316	19980	31546	23320
Chrome	2	i7-3770	4071	28641	17919	28303	23295	28389	20169	40504	23120	46690	29069	22287	33004	38419	32338	74668	40297
Chrome	2	i7-3770	4161	29206	18270	28472	22058	28421	21031	34819	19607	46633	29462	19295	32781	45544	33152	72377	40874
Chrome	0	i3-370M	2127	17129	9556	12620	9514	15286	8100	18609	10814	22163	15263	11558	18301	17350	18259	30538	22167
Chrome	1	i5-560M	2693	22831	10970	16518	12401	20277	10845	20940	11743	30177	18623	11998	23631	21688	22325	40561	27366
Chrome	0	Pentium D 960	1601	14662	6012	6251	4100	13159	4018	10566	8671	19232	12225	7168	12885	7501	12481	17918	15809
Chrome	2	i7-2670QM	3102	21685	11941	19273	15292	19848	14118	26980	12737	32991	22779	16671	24182	30721	25308	48969	29945
Chrome	2	i5-2450M	3114	22785	12867	19366	15482	20331	13604	27563	12452	33727	23652	17224	24655	22749	26949	49356	30355
Chrome	2	i5-3230M	2872	19787	12300	16782	13154	19322	12942	23158	11625	30872	20966	14829	22745	26842	24470	41769	29031
Chrome	2	i5-2430M	2782	20628	9737	17336	13733	18340	13539	25624	12778	30834	21441	14539	22579	27680	24273	43686	28107
Chrome	0	Core 2 Duo E4500	1938	15520	6504	9066	5264	14025	5786	15141	8508	20394	14553	11464	18636	10844	16125	15036	19776
Microsoft Internet Explorer	0	Core 2 Duo E6400	908	12453	7626	6620	8080	8815	7528	15050	3286	9547	9500	2947	8790	5379	6393	12506	6149
Microsoft Internet Explorer	0	Celeron B800	777	10128	6520	5932	10071	6680	6058	15732	3309	7658	9952	3191	6489	4163	6332	10092	4875
Chrome	2	i5-3230M	3193	19806	12242	16326	13223	15637	12560	22749	14562	30897	31792	19640	22501	26789	42179	41811	29813
Chrome	2	i5-2450M	2965	22831	11702	19534	15434	20191	13630	27350	13813	33921	22601	13209	24786	30967	25086	49161	29882
Chrome	2	i5-3230M	3421	23750	14278	20939	16562	23237	15112	26569	15793	36682	25668	17975	27098	32910	28979	53598	34487
Firefox	0	Pentium E5200	1569	15047	9263	11563	10473	13240	8322	1692	12460	33831	17736	6704	18565	16010	29896	33538	22751
Microsoft Internet Explorer	0	i3-380M	1146	15149	9692	8797	12717	10333	10740	23301	4132	11380	13209	3560	7692	7027	10708	15663	7161
Chrome	2	i5-3230M	3404	23897	14399	19553	16238	22924	14547	28240	16160	37136	25444	17775	26981	34562	28802	53494	34540
Chrome	2	i5-2500	3762	26807	15052	24608	19861	23929	17746	34138	20576	41079	26887	17962	29530	40543	29334	64750	36206
Firefox	0	i3-3240	2376	27278	14647	25197	27093	25702	12199	27222	18857	50021	30143	6867	27338	39423	42401	58636	35109
Firefox	2	i5-2320	2567	23549	14325	24277	25697	21090	10237	25194	15068	48885	31502	6121	25887	37374	46619	59104	12007
Chrome	1	i5-460M	2409	20162	10920	12480	10031	17352	10607	20437	10545	27191	16937	13673	21619	20521	20101	36767	25052
Chrome	2	i7-3630QM	1386	8981	5674	6115	4127	8819	4722	13287	9237	14379	10493	5750	10160	6870	12284	12354	13336
Firefox	2	i5-3570K	3250	29887	12145	31231	79130	27293	16519	31655	24227	56703	38109	11102	29950	42081	52983	67340	15201
Firefox	2	i5-2400S	2818	25376	15755	24656	29674	20879	14021	23327	15459	61868	23472	9553	23151	31479	63354	52108	28219
Chrome	2	i5-2320	3401	24017	14757	21686	17554	21405	16119	31001	16925	37676	25677	19313	26469	27707	28433	55151	32755
Chrome	0	Celeron 1005M	2077	13880	8209	11551	8054	13798	8406	18525	9697	22938	15526	8860	16158	12910	17242	26054	20702
Chrome	2	i7-4800MQ	4595	28231	18492	29791	24558	29685	21480	41211	22557	45521	31849	23369	33964	45499	37554	70346	46567
Microsoft Internet Explorer	2	i7-3632QM	805	11167	7126	6412	8566	7853	7162	17462	4095	8941	10407	3839	6729	4131	6640	10005	5435
Firefox	2	i7-3770	3318	30744	17605	31821	36927	27539	11805	32812	25515	58662	38680	12800	31578	45318	58770	72377	15220
Firefox	2	i7-3770	3341	30892	17349	31885	36388	29104	17145	31639	25872	58038	39910	11987	30953	47077	57588	67207	33535
Chrome	2	i5-2500	3852	26928	16320	24489	19704	24490	18677	36798	19411	41101	27943	23501	29495	32370	31472	64686	36947
Chrome	0	i3-370M	1465	12636	6470	6614	4826	10798	5488	9596	5044	16756	10569	4754	12613	7591	12210	15509	15690
Chrome	0	Pentium G640	2898	20883	11266	16453	12494	17134	12632	24153	13609	30991	21170	16468	22890	26868	24050	42971	28596
Chrome	2	i5-3230M	3407	23945	13612	21244	17554	22888	14645	30665	16608	36912	25092	17984	26904	32338	28790	55151	34481
Chrome	2	i5-3230M	3424	23892	14483	21020	17431	21822	14048	26680	16144	36050	25511	18069	26981	33449	28461	43771	34580
Chrome	2	i5-3230M	3421	23892	14531	21060	17616	22636	13979	27071	16445	37345	25538	18091	26995	33549	28523	44557	34421
Chrome	1	i5-560M	2701	22660	10493	15790	13154	19925	10908	22846	11702	30189	18411	12599	24496	23268	22177	38965	27975
Chrome	2	i7-3930K	3662	26362	14464	24137	20102	23534	17903	36019	18865	40278	26990	16621	28958	39306	29126	58874	35300
Chrome	2	i5-2500	3709	27009	15253	23841	19627	23896	17592	31781	20128	40751	26635	17334	29558	40624	29688	64056	35968
Chrome	2	i5-2500	3792	26874	16264	22990	18671	24303	18768	31584	19370	40642	27750	18194	29530	40382	30858	63029	36973
Chrome	0	Celeron G1610	2744	19767	11544	16832	12783	19541	12042	22749	11785	31238	19810	14799	22530	26383	22274	42889	28107
Safari	2	i5-4250U	1565	20377	18273	16665	13964	19857	11462	27297	12251	37537	27244	7426	22307	22054	34967	27384	17742
Chrome	2	i7-3770	4210	24783	16983	28303	23515	27850	21094	36368	23323	46533	31697	26956	32979	45408	35815	72306	42163
Chrome	2	i7-3770	4231	29176	17117	28415	24558	27824	20764	40517	22304	45413	31676	25569	33011	47713	35963	72951	42130
Chrome	2	i5-3210M	3728	23626	14161	22315	16399	22394	16087	22338	10398	39123	22573	10875	27204	30967	28183	51546	33152
Chrome	1	i5-560M	2623	22785	11229	15073	11648	19828	10919	24899	11539	29467	17391	8746	24454	25331	19886	41399	26540
Chrome	0	Celeron 430	1407	11347	4922	5999	4076	10233	3441	6756	6894	14621	9805	3215	13955	6771	10730	17451	13944
Firefox	2	i7-3520M	2906	28703	16403	28219	32583	24918	11593	21156	22622	56936	35756	12822	28326	45047	80141	64178	15002
Chrome	1	i5-560M	1290	22854	11778	15879	13223	18145	10834	19449	11009	30248	3723	9357	23638	22054	4205	41440	9360
Chrome	2	i5-2500	3731	26606	16270	24608	18671	23723	18462	31726	20308	40556	26958	17597	29608	40880	29674	63869	35683
Chrome	2	i5-4300U	2600	22705	13182	21622	14534	23587	13110	32329	15654	36948	25016	15999	26886	30967	28671	52160	35605
Firefox	2	i7-2670QM	2430	21623	13132	21643	22763	19228	11071	25224	19908	45145	26406	8676	22773	32338	31270	50458	32061
Microsoft Internet Explorer	0	i3-2350M	1182	15164	9497	8595	10721	10091	9489	22516	4816	11865	14258	4280	8469	6385	9940	14146	7498
Microsoft Internet Explorer	0	Celeron B800	756	10128	6420	5754	7989	6779	6618	15515	3281	7886	9516	3460	6100	6648	6185	10239	5012
Chrome	2	i7-3770	4137	29118	18142	27862	20946	28274	20927	40529	19965	46690	29879	19476	33184	38921	32782	73169	40688
Microsoft Internet Explorer	0	i3-4025	1121	14413	8807	9609	13294	9902	9606	24701	4327	11541	12286	4255	9832	5970	10434	13001	7471
Firefox	1	i5-480M	1797	19600	9961	16000	15927	15503	6587	17556	13202	37091	20690	6062	18728	20854	33159	36439	9104
Firefox	1	i5-480M	1771	19866	10277	16061	17616	16220	9163	18025	12867	38678	21980	6954	19130	21473	34483	40059	26408
Firefox	2	i5-3470U	3040	28790	16304	29048	32371	25701	14963	27791	25164	56724	36304	12612	28729	41084	73111	65721	45668
Chrome	2	i7-4790	4550	29383	18543	30810	27391	31063	23102	50179	20336	47621	30680	19378	34903	51999	34631	79352	46223
Chrome	2	i7-3610QM	3404	23774	13303	21881	17131	23424	16908	30122	16893	38415	25121	15277	26893	36363	27972	56041	33819
Safari	2	i5-3210M	1800	24017	19215	18241	16453	21072	14341	25021	14579	43475	31533	8914	16786	20895	34927	33212	19525
Microsoft Internet Explorer	2	i5-3570K	2015	27788	16426	18789	29153	19528	18551	39100	7645	22332	25287	6282	16761	16797	17190	33407	12794
Microsoft Internet Explorer	2	i5-2500K	1568	21645	11314	13975	15245	14237	12668	30843	6250		19562	6029	13951	12155	13428	20926	10685
Chrome	2	i5-2450M	3082	22364	13305	19055	15628	19921	14355	25932	14008	33127	22737	12362	24147	31958	24863	40600	29991
Firefox	2	i7-3770	3337	30570	17408	31790	37483	26777	17440	32321	26028	57797	40107	9805	31281	44195	77107	71394	15584
Firefox	2	i7-3770	3321	30836	17409	31917	36927	27672	17609	31498	25824	57972	39421	11623	30759	43332	45538	70979	48326
Firefox	2	i5-3210M	2588	26092	14458	23977	27543	22075	13552	21086	15077	62758	20688	8447	23027	28222	63491	48730	26948
Firefox	2	i5-3570K	3144	29917	11925	30899	71217	28226	15532	30143	24211	55894	37792	9650	29883	44779	53279	64559	33112
Chrome	2	i5-3210M	2419	19974	13976	21473	15339	22381	14803	21663	15931	40470	25629	16108	27144	31353	32560	49453	33581
Firefox	2	i5-2400S	2933	25376	15765	24899	29498	20725	14603	23994	15459	61322	25726	9952	23412	31958	65119	51546	31333
Microsoft Internet Explorer	1	i5-560M	1357	20250	11023	10950	15482	12882	11082	23762	4409	13032	16029	4287	11946	7828	12675	18930	9210
Chrome	2	i5-2320	3361	24017	14429	21558	17310	21826	16679	30910	17480	37760	24740	15971	26427	31291	27158	55151	32252
Chrome	0	Celeron 1037U	1281	9092	5059	6240	4151	8816	4480	11908	8100	14629	10267	8223	10231	5406	11599	9128	13091
