Mandreel	12703	12514	9421	12422	11517	12275	8333	12457	12910	11395	12776	12751	12354	12656	9351	11700	11689	12585	11484	12468
MandreelLatency	29674	31753	24926	11813	11078	12279	9353	12189	12279	11382	12159	12219	11984	31353	9081	11648	11128	11984	11434	12189
Gameboy	25302	23173	25350	33736	34107	34005	25302	35388	35118	35152	26288	35320	34141	34175	27699	35320	35118	23660	35456	35354
Typescript	21326	21980	22668	21340	21216	20258	19848	21180	20483	20434	20239	21276	20903	19861	18565	21347	20506	18663	20287	21408
NavierStokes	15715	15715	15372	15699	15730	15730	14869	15715	15715	15753	14840	15668	15715	15730	14692	15737	15737	15730	15730	15699
EarleyBoyer	24271	24127	24348	24471	24156	24080	24370	23826	24200	24245	24133	24170	24327	21483	20566	24314	24289	22765	24097	24118
SplayLatency	15274	15627	19213	16711	18453	18479	16457	18826	18814	18084	17360	17033	18325	19426	13334	16368	17200	19651	17066	19006
CodeLoad	8411	8298	8155	8352	8503	8418	8453	8363	8185	8413	8498	8456	8416	8374	7080	8422	8437	7685	7366	8442
Crypto	14545	16403	16533	16144	16651	16616	16570	16578	16483	16415	15780	16394	16502	16571	15348	16477	16397	16067	16516	16394
Splay	10724	10952	10537	11050	10977	11164	11124	11066	11132	10838	10300	11287	10887	9200	8198	11531	10871	11678	11392	11384
DeltaBlue	30818	31836	32543	32510	31380	31776	32517	30857	32510	31975	31459	32623	32404	32404	32345	32590	32755	32345	32385	30646
Box2D	23809	24350	27542	26409	27624	27487	27943	28679	27542	26975	24399	27680	28250	24743	18289	28679	27624	21602	19403	26025
Richards	15261	14202	14382	13948	17972	14128	14732	14191	14110	14664	14679	14615	14057	17866	14576	14604	14209	14650	14520	17831
RegExp	2672	2629	2562	2491	1625	1642	1632	1614	1647	1628	1628	1638	1597	1625	1372	1619	1625	1611	1632	1616
PdfJS	10360	10876	10399	10709	10824	10908	10730	10824	10951	11005	9698	10919	10577	10930	8670	10699	10951	10312	10688	10803
zlib	32466	32438	31199	32010	32369	31790	32383	32438	29507	32639	30296	32274	31956	30111	26674	32583	32856	31770	32709	32151
RayTrace	38958	38627	39328	39515	38033	39328	38479	39550	39293	39402	28091	39476	39737	38849	32116	38589	39441	38663	39550	39663
