Mandreel	19145	19783	19328	20643	19763	20058	19861	20682	20058	17684	16698	16138	16046	17803	19725	18368	18441	19182	13385	19496
MandreelLatency	45736	49852	47030	53034	50869	51394	51394	51929	47478	46159	44117	39254	43350	47030	50356	42976	48400	48875	35356	50356
Gameboy	54931	54605	57262	56868	56756	56868	56205	57092	57036	47706	34141	49898	49356	53339	54283	54443	50026	54713	53546	54931
Typescript	27043	27385	28499	27515	27755	27870	29098	27882	29164	25314	24296	24874	25259	24241	25942	26731	26759	20375	26542	26322
NavierStokes	23081	23299	22933	23035	23127	23206	23150	23424	23160	23331	22489	22090	22193	23502	23252	23331	23150	23400	23377	23299
EarleyBoyer	32816	33297	32805	33217	33345	33174	33230	32644	33138	31277	29605	29695	29941	30780	30736	30972	30436	31285	31101	31653
SplayLatency	18409	23787	23377	25510	21286	21080	21559	23351	13751	15354	20660	19597	22256	21759	23445	23694	24071	23602	22112	22988
CodeLoad	11361	11430	11534	11542	11541	11523	11497	11574	9909	9026	10066	10386	10251	10534	10826	10965	8616	10196	10960	10904
Crypto	24444	24447	24200	24703	24321	24508	24407	24562	24488	23502	22502	22377	20292	22777	23418	23701	20393	22689	23763	23737
Splay	14326	14473	13376	14171	14269	13511	13576	14082	13479	12713	14921	13748	13772	13943	14229	15096	14090	14662	13758	14628
DeltaBlue	38117	45588	47334	46765	47255	46408	46296	47731	46600	43764	40524	40319	40160	41740	43168	43678	45059	29700	43744	43552
Box2D	46536	46490	47077	47030	44151	47218	47030	47618	44371	38573	39541	40423	40003	40584	43289	42705	30874	24229	44460	44006
Richards	25760	22459	25657	22470	25283	22756	25594	26335	26378	22501	24669	25894	21975	22293	22445	25266	22254	24944	14421	25393
RegExp	3909	2329	2369	2381	2423	2395	2364	2409	2374	2218	2156	2169	2154	2250	2235	1863	2266	2248	2268	2273
PdfJS	16582	16103	16582	16503	17025	16776	16055	16825	16679	15960	15097	14660	15022	15112	16119	16679	16825	16566	16663	16024
zlib	46462	48100	46604	48359	47740	43812	47035	46704	47665	44880	43925	44827	44179	44281	46790	47049	46056	35130	46448	46761
RayTrace	55721	56535	56331	57218	55721	56905	56239	56757	56257	50541	48543	47581	45583	48025	50467	51674	48247	51281	51503	50319
