Mandreel	12800	12399	12935	12985	12503	12776	12861	12935	12679	13099	12935	12910	12849	12632	12632	12739	12764	12585	13061	12873
MandreelLatency	31552	30964	31753	28816	31552	29325	31158	28487	31552	31753	31753	31552	31753	31552	28165	30398	31552	31158	28984	31956
Gameboy	35732	35219	35388	35594	35152	35085	35219	35559	35185	35732	35422	33870	35559	35253	35456	33971	35286	33571	35422	35253
Typescript	20978	21965	22190	22071	22237	19357	20896	20649	21886	21961	20466	21247	20460	20749	20844	22512	22064	22106	21495	22167
NavierStokes	15730	15683	15699	15683	15699	15699	15715	15683	15730	15652	15683	15715	15683	15730	15730	15489	15699	15730	15474	15668
EarleyBoyer	24733	24494	24204	24150	24392	24334	24417	24087	24520	24002	24532	24308	24538	24636	24413	24512	24473	24115	24553	24593
SplayLatency	16574	18424	18951	17665	15491	17405	16365	17648	15574	17736	18542	19190	18509	18713	17867	16431	17972	17509	18101	15724
CodeLoad	7074	6883	7389	7395	7261	7370	7336	6905	7211	7424	7034	7425	7381	6864	7442	7264	7123	7394	7399	7098
Crypto	15635	16594	16608	16334	16683	16607	16230	16335	16682	15896	16585	16634	15854	16331	16676	15572	16721	16590	16514	16329
Splay	10952	9583	10146	10007	8972	9934	9371	9812	9469	10023	9437	9453	9453	9119	8768	9844	10089	10621	9127	9583
DeltaBlue	30725	32649	31895	32702	31386	32781	31717	32676	32404	32186	31194	32173	31677	32887	31261	31644	32080	32325	31558	32834
Box2D	28651	27916	28250	24792	24302	27542	27652	26868	26594	27029	26383	28765	28110	27433	27597	26568	25973	26409	28594	24768
Richards	17803	13965	13672	13457	13454	13538	14128	13814	13856	13305	13457	13867	14093	13920	13821	14085	13517	17849	13528	13369
RegExp	1638	1640	1656	1656	1658	1660	1641	1653	1622	1627	1637	1638	1641	1640	1616	1608	1640	1650	1619	1619
PdfJS	10908	10855	11049	10688	10834	10919	10803	10824	10834	10994	10845	10803	10919	10930	11071	10719	10876	10750	10792	11005
zlib	32681	32287	32779	32521	32507	32927	32835	32716	32751	32702	32906	32934	32639	32555	32723	32597	32695	32856	30369	32597
RayTrace	38958	39698	40033	39476	39663	39476	39846	39959	39328	39663	39885	39589	39624	39846	37850	39811	39993	39550	39550	39846
