Mandreel	19145	19366	19403	19019	19478	18948	17650	19384	19572	18478	19127	17889	18011	17667	16665	17418	17600	17837	17769	18028
MandreelLatency	23295	23187	23967	23295	23187	22763	21124	23187	23187	21581	23080	22255	22058	21488	19941	21961	22058	22058	22058	22355
Gameboy	49948	49405	36082	33571	39276	49799	44292	41318	39197	46120	51145	33051	28212	30362	43431	49113	44073	48399	39793	35525
Typescript	23687	22342	23132	17911	18174	19511	22551	19116	22152	28197	20719	22777	20906	22342	18317	17110	17312	19325	17729	20669
NavierStokes	28880	28851	28971	29118	29028	28880	29295	28851	26162	29057	29057	28851	21941	29206	27547	28938	28909	29086	29118	29086
EarleyBoyer	28825	27741	28187	29463	28935	29145	28478	28675	29086	20641	26662	27517	26772	28681	26783	22860	27473	25559	22757	27559
SplayLatency	18635	17707	5871	13624	13336	16509	13851	13939	12831	14065	10480	8225	8038	6837	6217	16856	15431	14154	5207	11056
CodeLoad	14008	13499	12991	13464	13196	13582	13463	13358	14298	14109	12664	12012	12126	11600	10274	13168	11277	12429	13786	13502
Crypto	23444	24326	24485	24020	23787	23786	22201	21362	24025	23582	24444	19598	22854	23177	23156	21805	21049	20396	23589	22512
Splay	14359	15100	9830	12085	11643	14147	11947	11800	10406	12020	13853	10268	6837	4908	11686	15084	11841	11132	9828	11076
DeltaBlue	13891	33985	8489	35981	20245	11491	20616	15412	11405	37357	35624	24060	10063	10691	16034	11260	32828	17664	19022	10337
Box2D	35607	34998	35103	33383	34158	32499	35172	34666	29732	30063	33616	27379	32597	27137	32306	32715	32467	26462	29673	27029
Richards	24983	25357	25548	24909	25149	6884	25287	25287	25199	25149	25425	24701	24655	24627	24545	6492	6601	24888	24690	24757
RegExp	2455	1838	2207	2304	2246	2345	2350	2125	2297	1689	2462	2359	1879	1881	1881	2242	2237	1990	2154	2085
PdfJS	11671	10208	10668	12053	12089	10487	9427	11796	10557	9436	7066	12841	11627	12705	9113	8754	12942	9971	9783	12816
zlib	46919	47035	45767	46818	47385	46991	47049	46491	47815	47370	45726	46364	44333	45835	43537	47710	48116	47874	46690	46991
RayTrace	50417	44799	45657	45464	44769	35371	45316	45213	45981	45583	45953	44917	44429	45361	45612	31714	46101	45435	34779	45657
