Mandreel	12503	12526	12491	12632	12538	11495	12354	12422	12727	12354	12422	9573	9786	12445	12608	12491	12573	12503	12561	11517
MandreelLatency	13809	13886	13809	13848	13886	12557	13584	13547	13733	13510	13848	10133	9950	13696	13771	13621	13658	13584	13658	12589
Gameboy	31327	25102	29345	26554	26146	31389	32735	29958	25865	32517	25879	20679	25180	29732	32672	30897	32610	26169	31203	32610
Typescript	17481	13627	13924	13793	14304	1654	14399	14134	16855	17010	17381	14325	7875	16942	16652	16890	15853	16998	17524	16931
NavierStokes	19826	19826	19846	19806	19806	19787	19698	19826	19826	19806	19826	19196	18642	19717	19826	19826	19363	19846	19826	19806
EarleyBoyer	21007	21477	20410	21462	21657	20191	20681	21467	21562	20601	21491	20440	17328	17219	20949	20750	20912	16789	20071	21747
SplayLatency	14845	11601	4182	6250	8797	6911	7268	10426	9011	7373	5439	5012	1432	11009	10973	10105	4390	11766	9326	8469
CodeLoad	9907	10456	10319	10207	10280	9081	9681	9552	10189	9146	10120	6383	6919	9698	9498	10107	9334	10229	9277	9254
Crypto	16008	16694	17246	14643	16109	16279	17165	13673	12444	16978	15797	17088	12779	15010	16814	17201	14309	16546	16476	16204
Splay	10105	9486	6143	7065	7163	9217	9722	9274	7484	10089	7954	8027	4515	10756	11075	10822	10211	11164	9919	10044
DeltaBlue	9706	21680	6730	7954	22566	8146	12166	18692	16787	23135	8218	19888	20563	1884	5568	18295	15663	8701	8218	28609
Box2D	13568	21688	20583	17230	18380	21146	20583	21924	17839	21082	17768	18056	16399	21989	22142	17875	21731	21389	17611	21709
Richards	17107	17231	15353	17450	17181	17432	17362	17443	17453	17277	17510	17136	15123	17280	17252	4752	17510	4762	17125	17294
RegExp	1834	1705	1795	1680	1661	1590	1769	1404	1633	1543	1722	1868	1063	1792	1722	1668	1418	1585	1624	1581
PdfJS	8292	8762	7996	8469	8524	6011	6686	7826	8516	6835	7965	6467	6402	6942	6538	4649	4973	8646	8100	6581
zlib	33756	33315	33027	33395	33199	32542	33156	32970	32097	32730	32807	27932	27604	32977	32625	33869	32308	32723	32871	31405
RayTrace	37554	35262	35149	35667	13824	26640	35632	35519	35262	26339	35667	26882	21343	26983	35519	34893	35371	26418	35815	35297
