Mandreel	433	398	387	376	398	423	401	414	361	434	387	423	422	413	383	366	369	402	342	386
MandreelLatency	1260	992	1115	968	1147	1255	1151	1192	1084	1275	1206	1216	1239	1242	1220	1070	1153	1105	1003	1191
Gameboy	2769	2732	2642	1930	2316	2620	2114	1728	1939	2596	2630	2756	2368	2413	2535	2385	2259	2316	2421	2458
Typescript	13423	11402	12343	12552	11938	12919	11901	11812	12070	12561	12142	12273	11829	12533	13725	11382	13602	11689	11756	11445
NavierStokes	371	369	343	347	352	358	312	351	370	361	337	362	349	344	364	359	364	357	338	351
EarleyBoyer	4097	4093	4069	4064	3991	4010	3978	3782	3954	4001	3665	3846	3942	3924	4011	3881	3748	3502	3616	3835
SplayLatency	5617	4947	4886	4984	5032	4909	4592	5208	4638	5452	4630	4571	4901	5478	4819	4774	5056	4507	4917	5458
CodeLoad	7040	4469	6734	7380	5813	6670	7471	5702	4951	7029	5013	6985	4329	6535	5518	6624	6427	6818	5766	4587
Crypto	1394	1421	1423	1411	1363	1406	1364	1381	1395	1056	1321	1403	1354	1297	1277	1213	1375	1356	1134	1352
Splay	3251	3089	3055	3137	3260	3142	3219	3533	2996	3315	3187	2714	2893	3395	3496	3300	3460	2846	3512	3522
DeltaBlue	1084	1061	1067	1086	1105	656	932	1100	1093	1047	1043	1051	963	825	1036	1071	754	1096	1072	1044
Box2D	1241	1269	1220	1211	1053	1123	1089	1226	1284	1165	1027	982	1067	1079	1259	1238	1134	1193	1220	1183
Richards	1437	1594	1557	1574	1571	1304	1592	1409	1472	1566	1576	688	1568	1559	1062	879	1573	1430	707	1529
RegExp	1107	1089	1057	1085	1014	1079	1024	1023	1065	999	1014	904	1068	1055	928	1060	1086	951	1103	1058
PdfJS	3337	3064	3076	3156	3213	2368	2875	3102	3150	3142	3075	3039	2873	3170	3157	2878	3071	3087	3236	3064
zlib	1886	1731	1731	1799	1751	1654	1697	1637	1773	1668	1673	1650	1690	1687	1785	1667	1671	1675	1689	1611
RayTrace	815	817	822	814	711	801	794	782	525	717	778	767	597	738	771	796	756	749	782	699
